accessLevel,description,format,frequency,identifier,modified,title,webService,accessURL,created,feed,keyword,releaseDate,theme,distribution/0/accessURL,distribution/0/formats/0/label,distribution/0/formats/0/value,distribution/1/accessURL,distribution/1/formats/0/label,distribution/1/formats/0/value,distribution/2/accessURL,distribution/2/formats/0/label,distribution/2/formats/0/value,distribution/3/accessURL,distribution/3/formats/0/label,distribution/3/formats/0/value,distribution/4/accessURL,distribution/4/formats/0/label,distribution/4/formats/0/value,distribution/5/accessURL,distribution/5/formats/0/label,distribution/5/formats/0/value,keywords/0,keywords/1,keywords/2,keywords/3,keywords/4,keywords/5,keywords/6,keywords/7,keywords/8,keywords/9,keywords/10,keywords/11,keywords/12,keywords/13,keywords/14,keywords/15,keywords/16,keywords/17,keywords/18,keywords/19,keywords/20,keywords/21,keywords/22,keywords/23,keywords/24,keywords/25,keywords/26,keywords/27,keywords/28,keywords/29,keywords/30,keywords/31,keywords/32,keywords/33,keywords/34,keywords/35,keywords/36,keywords/37,keywords/38,keywords/39,keywords/40,keywords/41,keywords/42,keywords/43,keywords/44,keywords/45,keywords/46,keywords/47,keywords/48,keywords/49,keywords/50,keywords/51,keywords/52,keywords/53,keywords/54,keywords/55,keywords/56,keywords/57,keywords/58,keywords/59,keywords/60,keywords/61,keywords/62,keywords/63,keywords/64,keywords/65,keywords/66,keywords/67,keywords/68,keywords/69,keywords/70,keywords/71,keywords/72,keywords/73,keywords/74,keywords/75,keywords/76,keywords/77,keywords/78,keywords/79,keywords/80,keywords/81,keywords/82,keywords/83,keywords/84
Public,"Pursuant to New York City’s Housing Maintenance Code, the Department of Housing 
Preservation and Development (HPD) collects registration information from owners of 
residential rental units. Owners are required to register if they own residential buildings 
with three or more units or if they own one- or two-family homes and neither they nor 
members of their immediate family live there. Registrations are required upon taking 
ownership of a qualifying building, and once a year thereafter.",text/csv,,tesw-yqqr,2014-02-14,Multiple Dwelling Registrations,https://data.cityofnewyork.us/resource/tesw-yqqr,https://data.cityofnewyork.us/api/views/tesw-yqqr/rows.csv?accessType=DOWNLOAD,2013-11-18,https://data.cityofnewyork.us/api/views/tesw-yqqr/rows.rss,"registrations,department of housing preservation and development,hpd",2013-11-18,Housing & Development,https://data.cityofnewyork.us/api/views/tesw-yqqr/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/tesw-yqqr/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/tesw-yqqr/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/tesw-yqqr/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/tesw-yqqr/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/tesw-yqqr/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,registrations,department of housing preservation and development,hpd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"The Department of Housing Preservation and Development (HPD) Housing Litigation Division (HLD) initiates' actions in the Housing Court against owners of privately-owned buildings to enforce compliance with the housing quality standards contained in the New York State Multiple Dwelling Law and the New York City Housing Maintenance Code.  HLD attorneys also represent HPD when tenants initiate actions against private owners.  HPD is automatically named as party to such actions.  The goal of these court proceedings is to obtain enforceable Orders to Correct, Civil Penalties (fines) and Contempt Sanctions, compelling owners to comply with the Housing Code.",text/csv,,59kj-x8nc,2014-02-14,Housing Litigations,https://data.cityofnewyork.us/resource/59kj-x8nc,https://data.cityofnewyork.us/api/views/59kj-x8nc/rows.csv?accessType=DOWNLOAD,2013-11-18,https://data.cityofnewyork.us/api/views/59kj-x8nc/rows.rss,"litigations,department of housing preservation and development,hpd",2013-11-18,Housing & Development,https://data.cityofnewyork.us/api/views/59kj-x8nc/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/59kj-x8nc/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/59kj-x8nc/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/59kj-x8nc/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/59kj-x8nc/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/59kj-x8nc/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,litigations,department of housing preservation and development,hpd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"Pursuant to New York City’s Housing Maintenance Code, the Department of Housing 
Preservation and Development (HPD) collects information on multiple dwellings in New York 
City, and other buildings that fall under its jurisdiction. HPD’s Buildings Open Data covers all 
buildings which meet any of the following criteria: 
 
a. HPD has required the owner to register the building under the Housing Maintenance 
Code (HMC) 
b. HPD has initiated a litigation action under the HMC 
c. HPD has received a complaint for the building 
d. HPD has initiated a work order for the purposes of emergency repair, demolition, or 
the Alternative Enforcement Program (AEP) for the building 
e. HPD has added the property to the AEP program

Buildings are identified by a BuildingID.",text/csv,,kj4p-ruqc,2014-02-14,Buildings Subject to HPD Jurisdiction,https://data.cityofnewyork.us/resource/kj4p-ruqc,https://data.cityofnewyork.us/api/views/kj4p-ruqc/rows.csv?accessType=DOWNLOAD,2013-11-18,https://data.cityofnewyork.us/api/views/kj4p-ruqc/rows.rss,"buildings,department of housing preservation and development,hpd",2013-11-18,Housing & Development,https://data.cityofnewyork.us/api/views/kj4p-ruqc/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/kj4p-ruqc/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/kj4p-ruqc/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/kj4p-ruqc/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/kj4p-ruqc/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/kj4p-ruqc/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,buildings,department of housing preservation and development,hpd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,# of units from projected future housing growth in the City,text/csv,,pa5t-ktd3,2013-11-18,Projected New Housing Starts - as Used in Enrollment Projection,https://data.cityofnewyork.us/resource/pa5t-ktd3,https://data.cityofnewyork.us/api/views/pa5t-ktd3/rows.csv?accessType=DOWNLOAD,2013-07-02,https://data.cityofnewyork.us/api/views/pa5t-ktd3/rows.rss,"school,construction,authority,sca,housing,forecast",2013-07-02,Housing & Development,https://data.cityofnewyork.us/api/views/pa5t-ktd3/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/pa5t-ktd3/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/pa5t-ktd3/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/pa5t-ktd3/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/pa5t-ktd3/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/pa5t-ktd3/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,school,construction,authority,sca,housing,forecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Demographic projections performed by the Grier Partnership for high school level students.,text/csv,,d6ph-dqj8,2013-11-18,Grier Partnership Part C - Demographic Projection Report - Enrollment Projections - New York City Public Schools,https://data.cityofnewyork.us/resource/d6ph-dqj8,https://data.cityofnewyork.us/api/views/d6ph-dqj8/rows.csv?accessType=DOWNLOAD,2013-07-02,https://data.cityofnewyork.us/api/views/d6ph-dqj8/rows.rss,"school,construction,authority,sca,education,enrollment,forecast",2013-07-02,Education,https://data.cityofnewyork.us/api/views/d6ph-dqj8/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/d6ph-dqj8/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/d6ph-dqj8/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/d6ph-dqj8/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/d6ph-dqj8/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/d6ph-dqj8/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,school,construction,authority,sca,education,enrollment,forecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Demographic projections performed by the Grier Partnership for elementary and middle school level students.,text/csv,,nxvh-fkda,2013-11-18,Grier Partnership Part B - Demographic Projection Report - Enrollment Projections - New York City Public Schools,https://data.cityofnewyork.us/resource/nxvh-fkda,https://data.cityofnewyork.us/api/views/nxvh-fkda/rows.csv?accessType=DOWNLOAD,2013-07-02,https://data.cityofnewyork.us/api/views/nxvh-fkda/rows.rss,"school,construction,authority,sca,education,enrollment,forecast",2013-07-02,Education,https://data.cityofnewyork.us/api/views/nxvh-fkda/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/nxvh-fkda/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/nxvh-fkda/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/nxvh-fkda/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/nxvh-fkda/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/nxvh-fkda/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,school,construction,authority,sca,education,enrollment,forecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Estimated # of students to be generated by future housing growth,text/csv,,n7ta-pz8k,2013-11-16,Projected Public School Ratio,https://data.cityofnewyork.us/resource/n7ta-pz8k,https://data.cityofnewyork.us/api/views/n7ta-pz8k/rows.csv?accessType=DOWNLOAD,2013-07-02,https://data.cityofnewyork.us/api/views/n7ta-pz8k/rows.rss,"school,construction,authority,sca,students",2013-07-02,Education,https://data.cityofnewyork.us/api/views/n7ta-pz8k/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/n7ta-pz8k/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/n7ta-pz8k/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/n7ta-pz8k/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/n7ta-pz8k/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/n7ta-pz8k/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,school,construction,authority,sca,students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"Enrollment, capacity and utilization data for every elementary and middle school building and schools in those buildings",text/csv,,my4g-bvvs,2014-01-15,Enrollment Capacity and Utilization Reports District 1-32,https://data.cityofnewyork.us/resource/my4g-bvvs,https://data.cityofnewyork.us/api/views/my4g-bvvs/rows.csv?accessType=DOWNLOAD,2013-04-18,https://data.cityofnewyork.us/api/views/my4g-bvvs/rows.rss,"school,construction,authority,sca,education,enrollment,capacity,facility,utilization",2013-04-18,Education,https://data.cityofnewyork.us/api/views/my4g-bvvs/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/my4g-bvvs/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/my4g-bvvs/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/my4g-bvvs/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/my4g-bvvs/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/my4g-bvvs/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,school,construction,authority,sca,education,enrollment,capacity,facility,utilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"Enrollment, capacity and utilization data for every alternative high school building and schools in those buildings",text/csv,,rqx9-kktd,2013-11-16,Enrollment Capacity and Utilization Reports Alternative HS,https://data.cityofnewyork.us/resource/rqx9-kktd,https://data.cityofnewyork.us/api/views/rqx9-kktd/rows.csv?accessType=DOWNLOAD,2013-04-18,https://data.cityofnewyork.us/api/views/rqx9-kktd/rows.rss,"school,construction,authority,sca,education,enrollment,capacity,facility,utilization",2013-04-18,Education,https://data.cityofnewyork.us/api/views/rqx9-kktd/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/rqx9-kktd/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/rqx9-kktd/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/rqx9-kktd/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/rqx9-kktd/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/rqx9-kktd/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,school,construction,authority,sca,education,enrollment,capacity,facility,utilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"Enrollment, capacity and utilization data for every regular high school building and schools in those buildings",text/csv,,3mim-bd27,2013-11-16,Enrollment Capacity and Utilization Reports Regular HS,https://data.cityofnewyork.us/resource/3mim-bd27,https://data.cityofnewyork.us/api/views/3mim-bd27/rows.csv?accessType=DOWNLOAD,2013-04-18,https://data.cityofnewyork.us/api/views/3mim-bd27/rows.rss,"school,construction,authority,sca,education,enrollment,capacity,facility,utilization",2013-04-18,Education,https://data.cityofnewyork.us/api/views/3mim-bd27/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/3mim-bd27/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/3mim-bd27/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/3mim-bd27/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/3mim-bd27/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/3mim-bd27/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,school,construction,authority,sca,education,enrollment,capacity,facility,utilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"Enrollment, capacity and utilization data for every District 75 building and schools in those buildings",text/csv,,3cn8-i54i,2013-11-16,Enrollment Capacity and Utilization Reports District 75 Special Ed.,https://data.cityofnewyork.us/resource/3cn8-i54i,https://data.cityofnewyork.us/api/views/3cn8-i54i/rows.csv?accessType=DOWNLOAD,2013-04-18,https://data.cityofnewyork.us/api/views/3cn8-i54i/rows.rss,"school,construction,authority,sca,education,enrollment,capacity,facility,utilization",2013-04-18,Education,https://data.cityofnewyork.us/api/views/3cn8-i54i/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/3cn8-i54i/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/3cn8-i54i/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/3cn8-i54i/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/3cn8-i54i/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/3cn8-i54i/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,school,construction,authority,sca,education,enrollment,capacity,facility,utilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,"Planimetric basemap line layer containing the street centerline. (roads, alley and interior park paths`.)",text/csv,,9ihd-38yr,2014-02-04,Street Centerline,https://data.cityofnewyork.us/resource/9ihd-38yr,https://data.cityofnewyork.us/api/views/9ihd-38yr/rows.csv?accessType=DOWNLOAD,2011-10-08,https://data.cityofnewyork.us/api/views/9ihd-38yr/rows.rss,"geographic,location,map,cartography,transportation,street,center,centerline,road,alley,path",2011-10-08,Transportation,https://data.cityofnewyork.us/api/views/9ihd-38yr/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/9ihd-38yr/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/9ihd-38yr/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/9ihd-38yr/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/9ihd-38yr/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/9ihd-38yr/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,geographic,location,map,cartography,transportation,street,center,centerline,road,alley,path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,Story for the Hero Banner,text/csv,,jr3e-jwne,2013-11-15,Hero Banner,https://data.cityofnewyork.us/resource/jr3e-jwne,https://data.cityofnewyork.us/api/views/jr3e-jwne/rows.csv?accessType=DOWNLOAD,2013-09-14,https://data.cityofnewyork.us/api/views/jr3e-jwne/rows.rss,test,2013-09-14,,https://data.cityofnewyork.us/api/views/jr3e-jwne/rows.csv?accessType=DOWNLOAD,csv,text/csv,https://data.cityofnewyork.us/api/views/jr3e-jwne/rows.json?accessType=DOWNLOAD,json,application/json,https://data.cityofnewyork.us/api/views/jr3e-jwne/rows.xml?accessType=DOWNLOAD,xml,application/xml,https://data.cityofnewyork.us/api/views/jr3e-jwne/rows.rdf?accessType=DOWNLOAD,rdf,application/xml+rdf,https://data.cityofnewyork.us/api/views/jr3e-jwne/rows.xls?accessType=DOWNLOAD,xls,application/excel,https://data.cityofnewyork.us/api/views/jr3e-jwne/rows.xlsx?accessType=DOWNLOAD,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,GIS data: Boundaries of Community Districts,application/zip; charset=binary,,yfnk-k7r4,2013-12-24,Community Districts,,https://data.cityofnewyork.us/api/file_data/ZBB1wGOBbXZfQPwIpjpldz3N35MDdUUO49sPcZEVHdI?filename=nycd_12c.zip,2013-01-29,,"community districts,gis,dcp,boundaries",2013-01-29,City Government,https://data.cityofnewyork.us/api/file_data/ZBB1wGOBbXZfQPwIpjpldz3N35MDdUUO49sPcZEVHdI?filename=nycd_12c.zip,application/zip; charset=binary,application/zip; charset=binary,,,,,,,,,,,,,,,,community districts,gis,dcp,boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,GIS data: Boundaries of Boroughs (water areas included),application/zip; charset=binary,,tv64-9x69,2013-11-01,Borough Boundaries (Water Areas Included),,https://data.cityofnewyork.us/api/file_data/CqyUWRJjb4aknLiOaWmFpM96b8xMtoNXmNGCzrbOpZQ?filename=nybbwi_12c.zip,2013-01-29,,"borough boundaries (water areas included),dcp,geographic,location,map,cartography,borough,boundary,water",2013-01-29,City Government,https://data.cityofnewyork.us/api/file_data/CqyUWRJjb4aknLiOaWmFpM96b8xMtoNXmNGCzrbOpZQ?filename=nybbwi_12c.zip,application/zip; charset=binary,application/zip; charset=binary,,,,,,,,,,,,,,,,borough boundaries (water areas included),dcp,geographic,location,map,cartography,borough,boundary,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,GIS data: Boundaries of Boroughs (water areas excluded),application/zip; charset=binary,,tqmj-j8zm,2013-11-01,Borough Boundaries,,https://data.cityofnewyork.us/api/file_data/Rps4o-S30_3r9ngBctBnLvYP24SvHYW0CRYEestL4fc?filename=nybb_12c.zip,2013-01-29,,"borough boundaries,data,water areas,dcp",2013-01-29,City Government,https://data.cityofnewyork.us/api/file_data/Rps4o-S30_3r9ngBctBnLvYP24SvHYW0CRYEestL4fc?filename=nybb_12c.zip,application/zip; charset=binary,application/zip; charset=binary,,,,,,,,,,,,,,,,borough boundaries,data,water areas,dcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,GIS data: Boundaries of Municipal Court Districts (water areas included),application/zip; charset=binary,,k2bb-k6p8,2013-11-01,Municipal Court Districts (water areas included),,https://data.cityofnewyork.us/api/file_data/n24dZfAxiQAn3DE-C-y8ROpB1MJ06UE-9sRiZ8qNXto?filename=DCP_nymcwiav_001.zip,2013-04-18,,"municipal court districts (water areas included),dcp,city planning,gis,map",2013-04-18,City Government,https://data.cityofnewyork.us/api/file_data/n24dZfAxiQAn3DE-C-y8ROpB1MJ06UE-9sRiZ8qNXto?filename=DCP_nymcwiav_001.zip,application/zip; charset=binary,application/zip; charset=binary,,,,,,,,,,,,,,,,municipal court districts (water areas included),dcp,city planning,gis,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,GIS data: Boundaries of Municipal Court Districts,application/zip; charset=binary,,7vpq-4bh4,2013-11-01,Municipal Court Districts,,https://data.cityofnewyork.us/api/file_data/FGVFp7WvJfu479RdFNUjP9GUjEr2cVvB0Z2qyiSit0k?filename=nymc_12c.zip,2013-01-29,,"municipal court districts,dcp,city planning,judicial,judge,law",2013-01-29,City Government,https://data.cityofnewyork.us/api/file_data/FGVFp7WvJfu479RdFNUjP9GUjEr2cVvB0Z2qyiSit0k?filename=nymc_12c.zip,application/zip; charset=binary,application/zip; charset=binary,,,,,,,,,,,,,,,,municipal court districts,dcp,city planning,judicial,judge,law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,GIS data: Boundaries of State Senate Districts (water areas included),application/zip; charset=binary,,7equ-j2vi,2013-11-01,State Senate Districts (water areas included),,https://data.cityofnewyork.us/api/file_data/2VQbeVCRa3t_FUDYS5pihNhZKbAmOswYVSAMo6Lv8Y4?filename=DCP_nysswiav_001.zip,2013-04-18,,"state senate districts (water areas included),dcp,city planning,maps,gis",2013-04-18,City Government,https://data.cityofnewyork.us/api/file_data/2VQbeVCRa3t_FUDYS5pihNhZKbAmOswYVSAMo6Lv8Y4?filename=DCP_nysswiav_001.zip,application/zip; charset=binary,application/zip; charset=binary,,,,,,,,,,,,,,,,state senate districts (water areas included),dcp,city planning,maps,gis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,GIS data: Boundaries of State Senate Districts,application/zip; charset=binary,,h4i2-acfi,2013-11-01,State Senate Districts,,https://data.cityofnewyork.us/api/file_data/VZGV8lJpRwOmmUY-WqD2lfLOAL_E3ATddIVX3k40x4g?filename=nyss_12c.zip,2013-01-29,,"state senate districts,dcp,geographic,voting,location,map,cartography,state,senate,district,boundary",2013-01-29,City Government,https://data.cityofnewyork.us/api/file_data/VZGV8lJpRwOmmUY-WqD2lfLOAL_E3ATddIVX3k40x4g?filename=nyss_12c.zip,application/zip; charset=binary,application/zip; charset=binary,,,,,,,,,,,,,,,,state senate districts,dcp,geographic,voting,location,map,cartography,state,senate,district,boundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,GIS data: Boundaries of State Assembly Districts (water areas included),application/zip; charset=binary,,qh62-9utz,2013-11-01,State Assembly Districts (water areas included),,https://data.cityofnewyork.us/api/file_data/B6pa8O9cReTOq1URJmhsmZthycYNTCswMNk7VBnlYqY?filename=DCP_nyadwiav_001.zip,2013-04-18,,"state assembly districts (water areas included),dcp,city planning,maps,gis",2013-04-18,City Government,https://data.cityofnewyork.us/api/file_data/B6pa8O9cReTOq1URJmhsmZthycYNTCswMNk7VBnlYqY?filename=DCP_nyadwiav_001.zip,application/zip; charset=binary,application/zip; charset=binary,,,,,,,,,,,,,,,,state assembly districts (water areas included),dcp,city planning,maps,gis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public,GIS data: Boundaries of State Assembly Districts,application/zip; charset=binary,,pf5b-73bw,2013-11-01,State Assembly Districts,,https://data.cityofnewyork.us/api/file_data/gfwY-cK-pDIngJst_T699efxvsmfloOWILE21AydQSA?filename=DCP_nyadav_001+%285%29.zip,2013-04-04,,"gis data: state assembly districts,boundary,boundaries,dcp,city planning,politics",2013-04-04,City Government,https://data.cityofnewyork.us/api/file_data/gfwY-cK-pDIngJst_T699efxvsmfloOWILE21AydQSA?filename=DCP_nyadav_001+%285%29.zip,application/zip; charset=binary,application/zip; charset=binary,,,,,,,,,,,,,,,,gis data: state assembly districts,boundary,boundaries,dcp,city planning,politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
